python 5.py                                                                                                                   ✔  24m 56s   relational_reality 
>>> STARTING TOPOLOGICAL BIG BANG (v3.3.5)...
>> Relational Physics v3.3.5 | N=4444 | init edges=0
>> Expansion baseline λE_base=-44.000 | target <k>=7.00
  eq  29000/4444444 | <k>=0.22 | tri#=    13 | Re(loop)=0.164 | d=1 corr=0.097 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.21
  eq  29250/4444444 | <k>=0.23 | tri#=    13 | Re(loop)=0.168 | d=1 corr=0.016 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.16
  eq  29500/4444444 | <k>=0.23 | tri#=    13 | Re(loop)=0.174 | d=1 corr=0.095 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.18
  eq  29750/4444444 | <k>=0.23 | tri#=    13 | Re(loop)=0.211 | d=1 corr=0.078 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.20
  eq  30000/4444444 | <k>=0.23 | tri#=    14 | Re(loop)=0.141 | d=1 corr=0.074 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.20
  eq  30250/4444444 | <k>=0.23 | tri#=    14 | Re(loop)=0.182 | d=1 corr=0.045 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.20
  eq  30500/4444444 | <k>=0.24 | tri#=    15 | Re(loop)=0.131 | d=1 corr=0.091 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.10
  eq  30750/4444444 | <k>=0.24 | tri#=    15 | Re(loop)=0.112 | d=1 corr=0.078 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.13
  eq  31000/4444444 | <k>=0.24 | tri#=    15 | Re(loop)=0.142 | d=1 corr=0.098 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.05
  eq  31250/4444444 | <k>=0.24 | tri#=    17 | Re(loop)=0.079 | d=1 corr=0.056 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.19
  eq  31500/4444444 | <k>=0.24 | tri#=    17 | Re(loop)=0.069 | d=1 corr=0.043 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq  31750/4444444 | <k>=0.24 | tri#=    17 | Re(loop)=0.111 | d=1 corr=0.051 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.21
  eq  32000/4444444 | <k>=0.25 | tri#=    17 | Re(loop)=0.057 | d=1 corr=0.089 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.18
  eq  32250/4444444 | <k>=0.25 | tri#=    17 | Re(loop)=0.045 | d=1 corr=0.110 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.15
  eq  32500/4444444 | <k>=0.25 | tri#=    17 | Re(loop)=0.045 | d=1 corr=0.080 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.11
  eq  32750/4444444 | <k>=0.25 | tri#=    17 | Re(loop)=0.084 | d=1 corr=0.105 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  33000/4444444 | <k>=0.26 | tri#=    17 | Re(loop)=0.119 | d=1 corr=0.114 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.24
