k,T,lb,N,seed,d_s_local,dip_t,has_dip,n_peaks
3,0.0,0.999,1000,44,0.9266566296296297,nan,False,2
3,0.0,0.999,1000,45,1.47596167251462,nan,False,2
3,0.0,0.999,1000,46,1.46450612,nan,False,2
3,0.0,0.99,1000,42,1.1490403333333334,2.946455,True,2
3,0.0,0.99,1000,43,1.1761196666666667,3.033716,True,2
3,0.0,0.99,1000,44,1.552787830845771,nan,False,2
3,0.0,0.99,1000,45,1.500552407960199,nan,False,2
3,0.0,0.99,1000,46,1.4218440746268655,nan,False,2
3,0.0,0.9,1000,42,2.228519411764706,nan,False,2
3,0.0,0.9,1000,43,2.2169960196078433,nan,False,2
3,0.0,0.9,1000,44,2.2276501699346403,nan,False,2
3,0.0,0.9,1000,45,2.1308726728395064,nan,False,2
3,0.0,0.9,1000,46,2.2071132692307693,nan,False,2
4,0.0,0.95,1000,42,2.246443297297297,nan,False,2
4,0.0,0.95,1000,43,2.3976805238095236,nan,False,2
4,0.0,0.95,1000,44,2.2428538918918917,nan,False,2
4,0.0,0.95,1000,45,2.2652754298245608,nan,False,2
4,0.0,0.95,1000,46,2.1656154188034185,nan,False,2
4,0.0,0.995,1000,42,1.4646566666666667,4.126004,True,2
4,0.0,0.995,1000,43,1.4126713333333332,4.73027,True,2
4,0.0,0.995,1000,44,1.4140803333333334,4.532889,True,2
4,0.0,0.995,1000,45,1.5781719999999997,4.258308,True,2
4,0.0,0.995,1000,46,1.8718505809523809,nan,False,2
4,0.0,0.999,1000,42,1.6119786363636364,nan,False,2
4,0.0,0.999,1000,43,1.09883575,nan,False,2
4,0.0,0.999,1000,44,1.7781850849673204,nan,False,2
4,0.0,0.999,1000,45,1.547024304347826,nan,False,2
4,0.0,0.999,1000,46,0.8191188686868687,nan,False,2
4,0.0,0.99,1000,42,1.6381530000000002,3.383011,True,2
4,0.0,0.99,1000,43,2.1378690689655175,nan,False,2
4,0.0,0.99,1000,44,2.2193033461538465,nan,False,2
4,0.0,0.99,1000,45,1.6896276666666667,3.460761,True,2
4,0.0,0.99,1000,46,1.7765423333333334,3.458522,True,2
4,0.0,0.9,1000,42,2.736056146666666,nan,False,2
4,0.0,0.9,1000,43,2.626520777777777,nan,False,2
4,0.0,0.9,1000,44,2.849989196969697,nan,False,2
4,0.0,0.9,1000,45,2.7642832,nan,False,2
